time , pgn , destination , source , priority , data
18.347159,61444,255,0,3, FE FF C1 BA 18 FF FF FF 
18.39359,61444,255,0,3, FE FF C3 98 19 FF FF FF 
18.424533,61184,255,0,3, 64 06 96 7D FF FF FF FF 
18.579245,61184,255,0,3, 64 06 9D 7D FF FF FF FF 
18.702996,65266,255,0,6, 55 00 FF FF FF FF FF FF 
18.718482,61444,255,0,3, F0 FF CA EA 1D FF FF FF 
18.74941,61184,255,0,3, 64 06 9A 7D FF FF FF FF 
18.764881,61184,6,0,6, 64 0E 99 06 FF FF FF FF 
18.796325,61443,255,0,3, FF 00 34 FF 06 FF FF FF 
18.826785,65247,255,0,6, 8B 20 1C FF FF FF FF FF 
18.888666,65263,255,0,6, FF FF FF 5E FF FF FF FA 
18.935079,61184,255,0,3, 64 06 E5 7C FF FF FF FF 
18.950546,60928,255,71,6, 4D 74 30 04 00 34 02 20 
19.074308,61184,255,0,3, 64 06 D9 7C FF FF FF FF 
19.136206,61184,255,0,3, 64 06 D9 7C FF FF FF FF 
19.151671,65270,255,0,6, FF 00 43 FF 00 FF FF FF 
19.167634,61444,255,0,3, F1 FF 7D F0 1E FF FF FF 
19.198088,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
19.244503,61443,255,0,3, FF 00 0C FF 06 FF FF FF 
19.275446,61444,255,0,3, F1 FF 83 18 1E FF FF FF 
19.352789,61443,255,0,3, FF 00 1A FF 06 FF FF FF 
19.468573,61184,255,0,6, 64 10 01 01 DD 02 03 7D 
19.54593,61444,255,0,3, F0 FF 96 EA 1C FF FF FF 
19.576871,61184,255,0,3, 64 06 76 7D FF FF FF FF 
19.669697,61443,255,0,3, FF 00 51 FF 06 FF FF FF 
19.685182,61184,255,0,3, 64 06 7C 7D FF FF FF FF 
19.700639,61184,6,0,6, 64 0E B7 06 FF FF FF FF 
19.732081,61443,255,0,3, FF 00 47 FF 06 FF FF FF 
19.762539,61184,255,0,6, 64 10 01 01 E3 02 03 7D 
19.855369,126720,6,3,3, 01 01 FF FF FF FF FF F5 
19.87084,65534,255,6,3, 5C FF FF FF FF FF FF FF 
19.948192,126720,6,3,3, 01 01 FF FF FF FF FF F5 
20.025537,126720,6,3,3, 01 01 FF FF FF FF FF F5 
20.071966,65092,255,71,3, 00 00 FF FF 3F FF FF FF 
20.149304,126720,6,3,3, 01 01 FF FF FF FF FF F5 
20.180265,59904,255,23,6, 00 EE 00 
20.288562,61444,255,0,3, F1 FF 87 20 1E FF FF FF 
20.412314,64947,255,0,6, FF FF 4C 28 FF FF FF FF 
